biotools_id,name,description,homepage,topics,functions,tool_type,license,cost,maturity,language,url,publications
ps2-v3,(PS)2 - v3,"Automated homology modeling server. The method uses an effective consensus strategy by combining PSI-BLAST, IMPALA, and T-Coffee in both template selection and target-template alignment. The final three dimensional structure is built using the modeling package MODELLER.",http://ps2v3.life.nctu.edu.tw/,Molecular modelling,Protein sequence analysis; Protein structure prediction,Web application,,,,,http://ps2v3.life.nctu.edu.tw/,10.1093/nar/gkv454
ps2,(PS)2-v2: Protein Structure Prediction Server,"(PS)2 Protein Structure Prediction Server performs automated homology modeling by combining PSI-BLAST, IMPALA, and T-Coffee for template selection and target-template alignment. The final three-dimensional (3D) structure is built using RAMP or MODELLER.",http://ps2.life.nctu.edu.tw,Molecular modelling,Protein modelling; Protein secondary structure prediction; Protein structure prediction; Protein super-secondary structure prediction,Web application,,,,,http://ps2.life.nctu.edu.tw,10.1093/nar/gkl187
1433pred,14-3-3-Pred,"Webserver that predicts 14-3-3-binding sites by combining predictions from three different classifiers: ANN, PSSM and SVM.",http://www.compbio.dundee.ac.uk/1433pred,Binding sites,Protein binding site prediction; Protein sequence analysis,Web application,,,,,http://www.compbio.dundee.ac.uk/1433pred,10.1093/bioinformatics/btv133
2DProt,2DProts,A database including visualizations of protein secondary structure via 2D diagrams. The 2D diagrams are based on whole protein family and they take into account 2D structure of the protein family members.,https://2dprots.ncbr.muni.cz/,Structural biology,Topology diagram drawing,Web API,Freeware,Free of charge,Emerging,,https://2dprots.ncbr.muni.cz/,
2dx,2DX,"A software system designed as a user friendly, platform-independent software package for electron crystallography.",http://www.2dx.unibas.ch/,Structural biology,Image analysis,Command-line tool,,Free of charge,,,http://www.2dx.unibas.ch/,10.1016/j.jsb.2006.07.020
cbct-backprojection,3D Cone beam CT (CBCT) backprojection,MATLAB tool for 3D Cone beam CT (CBCT) backprojection and iterative reconstruction.,https://www.mathworks.com/matlabcentral/fileexchange/35548-3d-cone-beam-ct-cbct-projection-backprojection-fdk-iterative-reconstruction-matlab-examples,Biophysics,Image analysis,Library,,Free of charge (with restrictions),,MATLAB,https://www.mathworks.com/matlabcentral/fileexchange/35548-3d-cone-beam-ct-cbct-projection-backprojection-fdk-iterative-reconstruction-matlab-examples,
3d-ct-mri-images,3D CT MRI images interactive sliding viewer,"An interactive tool for users to browse through sagittal, axial and coronal views of CT/MRI images.",https://www.mathworks.com/matlabcentral/fileexchange/29134-3d-ct-mri-images-interactive-sliding-viewer,Biophysics,Image analysis,Library,,Free of charge (with restrictions),,MATLAB,https://www.mathworks.com/matlabcentral/fileexchange/29134-3d-ct-mri-images-interactive-sliding-viewer,
3d-free-form-image-registration-toolbox-gui,3D Free Form Image Registration Toolbox (GUI),A toolbox for performing image registrations on 4D RTOG files or any other volumetric image.,https://www.mathworks.com/matlabcentral/fileexchange/21017-3d-free-form-image-registration-toolbox-gui,Biophysics,Image analysis,Library,,Free of charge (with restrictions),,MATLAB,https://www.mathworks.com/matlabcentral/fileexchange/21017-3d-free-form-image-registration-toolbox-gui,
3d-beacons,3D-Beacons,The 3D-Beacons Network provides unified programmatic access to experimentally determined and predicted structure models.,https://3d-beacons.org,Molecular modelling; Structural biology,,Web service,Apache-2.0,Free of charge,Emerging,"Python, JavaScript",https://github.com/3D-Beacons/3d-beacons-front-end,10.1101/2022.08.01.501973
3d-dart,3D-DART,A web server for generation of 3D-structural DNA models with a defined conformation by providing control over both ‘global’ and ‘local’ conformational features.,https://milou.science.uu.nl/services/3DDART/,Structural biology,Molecular dynamics; Nucleic acid structure analysis; Structure visualisation,Web application,,Free of charge,Mature,,https://milou.science.uu.nl/services/3DDART/,10.1093/nar/gkp287
